Province,City,City_compare
on,etobicoke,Etobicoke
on,exeter,Exeter
on,fergus,Fergus
on,fort-frances,Fort Frances
on,georgetown,Georgetown
on,gloucester,Gloucester
on,grand-bend,Grand Bend
on,grimsby,Grimsby
on,guelph,Guelph
on,hamilton,Hamilton
on,hawkesbury,Hawkesbury
on,huntsville,Huntsville
on,ingersoll,Ingersoll
on,kanata,Kanata
on,kemptville,Kemptville
on,kenora,Kenora
on,keswick,Keswick
on,kincardine,Kincardine
on,kingston,Kingston
on,kingsville,Kingsville
on,kitchener,Kitchener
on,lambton-shores,Lambton Shores
on,lindsay,Lindsay
on,listowel,Listowel
on,london,London
on,markham,Markham
on,meaford,Meaford
on,midland,Midland
on,milton,Milton
on,minden,Minden
on,mississauga,Mississauga
on,napanee,Napanee
on,nepean,Nepean
on,newmarket,Newmarket
on,niagara-falls,Niagara Falls
on,niagara-on-the-lake,Niagara On The Lake
on,north-bay,North Bay
on,north-york,North York
on,oakville,Oakville
on,orangeville,Orangeville
on,orillia,Orillia
on,orleans,Orleans
on,oshawa,Oshawa
on,ottawa,Ottawa
on,owen-sound,Owen Sound
on,parry-sound,Parry Sound
on,pembroke,Pembroke
on,perth,Perth
on,petawawa,Petawawa
on,peterborough,Peterborough
on,pickering,Pickering
on,port-colborne,Port Colborne
on,port-dover,Port Dover
on,port-elgin,Port Elgin
on,port-perry,Port Perry
on,renfrew,Renfrew
on,richmond-hill,Richmond Hill
on,sarnia,Sarnia
on,sauble-beach,Sauble Beach
on,sault-ste-marie,Sault Ste Marie
on,scarborough,Scarborough
on,simcoe,Simcoe
on,sioux-lookout,Sioux Lookout
on,smiths-falls,Smiths Falls
on,south-lancaster,South Lancaster
on,st-catharines,St Catharines
on,st-thomas,St Thomas
on,stayner,Stayner
on,stoney-creek,Stoney Creek
on,stratford,Stratford
on,strathroy,Strathroy
on,sturgeon-falls,Sturgeon Falls
on,sudbury,Sudbury
on,thornhill,Thornhill
on,thunder-bay,Thunder Bay
on,tillsonburg,Tillsonburg
on,toronto,Toronto
on,trenton,Trenton
on,unionville,Unionville
on,val-caron,Val Caron
on,vaughan,Vaughan
on,walkerton,Walkerton
on,wasaga-beach,Wasaga Beach
on,waterdown,Waterdown
on,waterloo,Waterloo
on,welland,Welland
on,weston,Weston
on,whitby,Whitby
on,windsor,Windsor
on,woodstock,Woodstock
pe,charlottetown,Charlottetown
pe,summerside,Summerside
qc,beauharnois,Beauharnois
qc,beloeil,Beloeil
qc,blainville,Blainville
qc,boucherville,Boucherville
qc,brossard,Brossard
qc,chateauguay,Chateauguay
qc,delson,Delson
qc,deux-montagnes,Deux Montagnes
qc,dollard-des-ormeaux,Dollard Des Ormeaux
qc,drummondville,Drummondville
qc,gatineau,Gatineau
qc,greenfield-park,Greenfield Park
qc,joliette,Joliette
qc,lancienne-lorette,Lancienne Lorette
qc,lile-perrot,Lile Perrot
qc,la-prairie,La Prairie
qc,lachine,Lachine
qc,lachute,Lachute
qc,lasalle,Lasalle
qc,laval,Laval
qc,lery,Lery
qc,longueuil,Longueuil
qc,mascouche,Mascouche
qc,montreal,Montreal
qc,montreal-nord,Montreal Nord
qc,pierrefonds,Pierrefonds
qc,quebec,Quebec
qc,rigaud,Rigaud
qc,saint-jean-sur-richelieu,Saint Jean Sur Richelieu
qc,saint-jerome,Saint Jerome
qc,saint-lazare,Saint Lazare
qc,saint-leonard,Saint Leonard
qc,sainte-therese,Sainte Therese
qc,salaberry-de-valleyfield,Salaberry De Valleyfield
qc,shawinigan,Shawinigan
qc,sherbrooke,Sherbrooke
qc,trois-rivieres,Trois Rivieres
qc,vaudreuil-dorion,Vaudreuil Dorion
qc,westmount,Westmount
sk,carlyle,Carlyle
sk,davidson,Davidson
sk,emerald-park,Emerald Park
sk,estevan,Estevan
sk,fort-quappelle,Fort Quappelle
sk,humboldt,Humboldt
sk,indian-head,Indian Head
sk,kindersley,Kindersley
sk,la-ronge,La Ronge
sk,macklin,Macklin
sk,martensville,Martensville
sk,meadow-lake,Meadow Lake
sk,melfort,Melfort
sk,moose-jaw,Moose Jaw
sk,moosomin,Moosomin
sk,nipawin,Nipawin
sk,north-battleford,North Battleford
sk,outlook,Outlook
