Province_compare,City,Latitude,Longitude,Address
ab,162,162,162,162
bc,123,123,123,123
mb,34,34,34,34
nb,23,23,23,23
nl,9,9,9,9
ns,22,22,22,22
on,208,208,208,208
pe,2,2,2,2
qc,59,59,59,59
sk,54,54,54,54
yt,1,1,1,1
